title,year,doi,journal,url,categories,cited_by_count,authors,abstract
"Additive Manufacturing for Occupational Hygiene: A Comprehensive Review of Processes, Emissions, & Exposures.",2021,10.1080/10937404.2021.1936319,"Journal of toxicology and environmental health. Part B, Critical reviews",https://pubmed.ncbi.nlm.nih.gov/34139957/,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air;resin_or_other_am,58,Stefaniak AB; Du Preez S; Du Plessis JL,"ABSTRACT This comprehensive review introduces occupational (industrial) hygienists and toxicologists to the seven basic additive manufacturing (AM) process categories. Forty-six articles were identified that reported real-world measurements for all AM processes, except sheet lamination. Particles released from powder bed fusion (PBF), material jetting (MJ), material extrusion (ME), and directed energy deposition (DED) processes exhibited nanoscale to submicron scale; real-time particle number (mobility sizers, condensation nuclei counters, miniDiSC, electrical diffusion batteries) and surface area monitors (diffusion chargers) were generally sufficient for these processes. Binder jetting (BJ) machines released particles up to 8.5 µm; optical particle sizers (number) and laser scattering photometers (mass) were sufficient for this process. PBF and DED processes (powdered metallic feedstocks) released particles that contained respiratory irritants (chromium, molybdenum), central nervous system toxicants (manganese), and carcinogens (nickel). All process categories, except those that use metallic feedstocks, released organic gases, including (but not limited to), respiratory irritants (toluene, xylenes), asthmagens (methyl methacrylate, styrene), and carcinogens (benzene, formaldehyde, acetaldehyde). Real-time photoionization detectors for total volatile organics provided useful information for processes that utilize polymer feedstock materials. More research is needed to understand 1) facility-, machine-, and feedstock-related factors that influence emissions and exposures, 2) dermal exposure and biological burden, and 3) task-based exposures. Harmonized emissions monitoring and exposure assessment approaches are needed to facilitate inter-comparison of study results. Improved understanding of AM process emissions and exposures is needed for hygienists to ensure appropriate health and safety conditions for workers and for toxicologists to design experimental protocols that accurately mimic real-world exposure conditions. ABBREVIATIONS ABS : acrylonitrile butadiene styrene; ACGIH® TLV® : American Conference of Governmental Industrial Hygienists Threshold Limit Value; ACH : air change per hour; AM : additive manufacturing; ASA : acrylonitrile styrene acrylate; AVP : acetone vapor polishing; BJ : binder jetting; CAM-LEM : computer-aided manufacturing of laminated engineering materials; CNF : carbon nanofiber; CNT : carbon nanotube; CP : co-polyester; CNC : condensation nuclei counter; CVP : chloroform vapor polishing; DED : directed energy deposition; DLP : digital light processing; EBM : electron beam melting; EELS : electron energy loss spectrometry; EDB : electrical diffusion batteries; EDX : energy dispersive x-ray analyzer; ER : emission rate; FDM™ : fused deposition modeling; FFF : fused filament fabrication; IAQ : indoor air quality; LSP : laser scattering photometer; LCD : liquid crystal display; LDSA : lung deposited particle surface area; LOD : limit of detection; LOM : laminated object manufacturing; LOQ : limit of quantitation; MCE : mixed cellulose ester filter; ME : material extrusion; MJ : material jetting; OEL : occupational exposure limit; OPS : optical particle sizer; PBF : powder bed fusion; PBZ : personal breathing zone; PC : polycarbonate; PEEK : poly ether ether ketone; PET : polyethylene terephthalate; PETG : Polyethylene terephthalate glycol; PID : photoionization detector; PLA : polylactic acid; PM1 : particulate matter with aerodynamic diameter less than 1 µm; PM2.5 : particulate matter with aerodynamic diameter less than 2.5 µm; PM10 : particulate matter with aerodynamic diameter less than 10 µm; PSL : plastic sheet lamination; PVA : polyvinyl alcohol; REL : recommended exposure limit; SDL : selective deposition lamination; SDS : safety data sheet; SEM : scanning electron microscopy; SL : sheet lamination; SLA : stereolithography; SLM : selective laser melting; SMPS : scanning mobility particle sizer; SVOC : semi-volatile organic compound; TEM : transmission electron microscopy; TGA : thermal gravimetric analysis; TPU : thermo polyurethane; UAM : ultrasonic additive manufacturing; UC : ultrasonic consolidation; TVOC : total volatile organic compounds; TWA : time-weighted average; VOC : volatile organic compound; VP : vat photopolymerization"
Capturing PM2.5 Emissions from 3D Printing via Nanofiber-based Air Filter,2017,10.1038/s41598-017-10995-7,Scientific Reports,https://openalex.org/W2751822846,core_emissions_measurement;materials;mitigation_filtration,57,Chengchen Rao; Фу Гу; Peng Zhao; Nusrat Sharmin; Haibing Gu; Jianzhong Fu,"This study investigated the feasibility of using polycaprolactone (PCL) nanofiber-based air filters to capture PM2.5 particles emitted from fused deposition modeling (FDM) 3D printing. Generation and aggregation of emitted particles were investigated under different testing environments. The results show that: (1) the PCL nanofiber membranes are capable of capturing particle emissions from 3D printing, (2) relative humidity plays a signification role in aggregation of the captured particles, (3) generation and aggregation of particles from 3D printing can be divided into four stages: the PM2.5 concentration and particles size increase slowly (first stage), small particles are continuously generated and their concentration increases rapidly (second stage), small particles aggregate into more large particles and the growth of concentration slows down (third stage), the PM2.5 concentration and particle aggregation sizes increase rapidly (fourth stage), and (4) the ultrafine particles denoted as “building unit” act as the fundamentals of the aggregated particles. This work has tremendous implications in providing measures for controlling the particle emissions from 3D printing, which would facilitate the extensive application of 3D printing. In addition, this study provides a potential application scenario for nanofiber-based air filters other than laboratory theoretical investigation."
Particle and volatile organic compound emissions from a 3D printer filament extruder.,2020,10.1016/j.scitotenv.2020.139604,The Science of the total environment,https://pubmed.ncbi.nlm.nih.gov/32502783/,core_emissions_measurement;health_toxicology;materials,56,Byrley P; Geer Wallace MA; Boyes WK; Rogers K,"Fused Deposition Modeling (FDM®), also known as Fused Filament Fabrication (FFF), 3D printers have been shown in numerous studies to emit ultrafine particles and volatile organic compounds (VOCs). Filament extruders, designed to create feedstocks for 3D printers, have recently come onto the consumer market for at-home hobbyists as an alternative to buying 3D printer filaments. These instruments allow for the creation of 3D printer filaments from raw plastic pellets. Given the similarity in processes and materials used by 3D printers and filament extruders, we hypothesized that filament extruders may also release ultrafine particle emissions and VOCs. An off-the-shelf filament extruder was operated in a 2 m3 chamber using three separate feedstocks: acrylonitrile butadiene styrene (ABS) pellets, pulverized poly-lactic acid (PLA), and PLA pellets. Ultrafine particle emissions were measured in real-time using a scanning mobility particle sizer and thermal desorption tubes were used for both non-targeted and targeted analysis of VOCs present in emissions. Ultrafine particle number emission rates were comparable to those found in 3D printer studies with the greatest to least emission rates from ABS pellets, pulverized PLA, and PLA pellets, respectively. In addition, the majority of particles released were found to be ultrafine (1-100 nm), similar to 3D printer studies. A variety of VOCs were identified using the ABS feedstock, including styrene and ethylbenzene, and PLA feedstock. Styrene average mass concentration amounts were found to be near the EPA Integrated Risk Information System Reference Concentration for Inhalation Exposure for 3 min and 5 min samples. Further studies will be needed to determine the impact on emissions of environmental volume, air exchange rate, and extruder settings such as extrusion speed and temperature. The results support the hypothesis that use of a filament extruder may present an additional exposure risk to 3D printer hobbyists."
Improving the electrospinning process of fabricating nanofibrous membranes to filter PM2.5.,2019,10.1016/j.scitotenv.2019.02.207,Science of the Total Environment,https://www.semanticscholar.org/paper/4fdf77dfaa8b1604dd501c596e0989506ea5add3,core_emissions_measurement;health_toxicology;mitigation_filtration,53,Mingyi Cao; Fu Gu; Chengchen Rao; Jianzhong Fu; P. Zhao,"To mitigate PM2.5 emissions is becoming a pressing concern, because these particles pose a threat to public health. Evidence shows that bead-free nanofiber with diameter of <100 nm is more likely to capture the PM2.5, however, currently it is impossible to fabricate bead-free nanofiber with such diameter without introduction of other substances. To fabricate bead-free polyacrylonitrile (PAN) nanofibers with diameter of <100 nm, we improved the electrospinning process of membrane fabrication via design of experiment (DOE), and we then used these nanofibers to filter PM2.5 emissions from burning cigarettes and fused deposition modeling (FDM) three-dimensional (3D) printing. The DOE was based on a L27 (313) orthodoxy array, which consists of six controllable factors, that is, the concentration of solution, the spinning voltage, the rotating speed, the tip-to-collector distance, the flow rate of the syringe pump, and the electrospinning temperature, each of them has three levels. The results showed that the nanofibers of the least diameter (i.e., 77 nm) can be fabricated under the following condition: 8 wt% PAN solution, 12 kV voltage, 5000 r/min, 12 cm tip-to-collector distance, 0.6 ml/h flow rate, and 50 °C electrospinning temperature. Range analysis and analysis of variance (ANOVA) showed that the concentration of PAN solution has the most significant effect on the diameter, and their values are positively correlated. An examination in a two-chamber filtering device showed the PAN membrane with the least fiber diameter has a PM2.5 filtration efficiency of 99.26%. A filtration test on standard FDM 3D printing process showed the membrane has a PM2.5 removal efficiency of 81.16%. This work could mitigate PM2.5 emissions from cigarette tobacco and FDM 3D printing, and it would be used to other scenarios, such as industrial and traffic emissions."
Three-dimensional printing with nano-enabled filaments releases polymer particles containing carbon nanotubes into air,2018,10.1111/ina.12499,Indoor Air: International Journal of Indoor Environment and Health,https://www.semanticscholar.org/paper/f906da73a049f3cf0285add1ea01fe4c305bdca4,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air,50,A. Stefaniak; L. Bowers; A. Knepp; M. Virji; E. Birch; J. Ham; J. Wells; Chaolong Qi,"Fused deposition modeling (FDM™) 3-dimensional printing uses polymer filament to build objects. Some polymer filaments are formulated with additives, though it is unknown if they are released during printing. Three commercially available filaments that contained carbon nanotubes (CNTs) were printed with a desktop FDM™ 3-D printer in a chamber while monitoring total particle number concentration and size distribution. Airborne particles were collected on filters and analyzed using electron microscopy. Carbonyl compounds were identified by mass spectrometry. The elemental carbon content of the bulk CNT-containing filaments was 1.5 to 5.2 wt%. CNT-containing filaments released up to 1010 ultrafine (d < 100 nm) particles/g printed and 106 to 108 respirable (d ~0.5 to 2 μm) particles/g printed. From microscopy, 1% of the emitted respirable polymer particles contained visible CNTs. Carbonyl emissions were observed above the limit of detection (LOD) but were below the limit of quantitation (LOQ). Modeling indicated that, for all filaments, the average proportional lung deposition of CNT-containing polymer particles was 6.5%, 5.7%, and 7.2% for the head airways, tracheobronchiolar, and pulmonary regions, respectively. If CNT-containing polymer particles are hazardous, it would be prudent to control emissions during use of these filaments."
VOC Emissions and Formation Mechanisms from Carbon Nanotube Composites during 3D Printing.,2019,10.1021/acs.est.9b00765,Environmental Science and Technology,https://www.semanticscholar.org/paper/b823d64792d79594a8d947a38ff072ec570d2faf,core_emissions_measurement;health_toxicology;materials,50,Phillip M. Potter; S. Al-Abed; D. Lay; S. Lomnicki,"A commercially available, 3D printer nanocomposite filament of carbon nanotubes (CNTs) and acrylonitrile-butadiene-styrene (ABS) was analyzed with respect to its VOC emissions during simulated fused deposition modeling (FDM) and compared with a regular ABS filament. VOC emissions were quantified and characterized under a variety of conditions to simulate the thermal degradation that takes place during FDM. Increasing the residence time and temperature resulted in significant increases in VOC emissions, and the oxygen content of the reaction gas influenced the VOC profile. In agreement with other studies, the primary emitted VOC was styrene. Multiple compounds are reported in this work for the first time as having formed during FDM, including 4-vinylcyclohexene and 2-phenyl-2-propanol. Our results show that printing 222.0 g of filament is enough to surpass the reference concentration for inhalation exposure of 1 mg/m3 according to the EPA's Integrated Risk Information System (IRIS). The presence of CNTs in the filament influenced VOC yields and product ratios through three types of surface interactions: (1) adsorption of O2 on CNTs lowers the available O2 for oxidation of primary backbone cleavage intermediates, (2) adsorption of styrene and other VOCs to CNTs leads to surface-catalyzed degradation, and (3) CNTs act as a trap for certain VOCs and prevent them from entering vapor emissions. While the presence of CNTs in the filament lowered the total VOC emission under most experimental conditions, they increased the emission of the most hazardous VOCs, such as α-methylstyrene and benzaldehyde. The present study has identified an increased risk associated with the use of CNT nanocomposites in 3D printing."
Effect of nozzle temperature on the emission rate of ultrafine particles during 3D printing.,2019,10.1111/ina.12624,Indoor Air: International Journal of Indoor Environment and Health,https://www.semanticscholar.org/paper/eb8508d087845173e81deeec9153033337f87232,core_emissions_measurement;health_toxicology;materials;workplace_indoor_air,47,Haejoon Jeon; Jihoon Park; Sunju Kim; Kyungho Park; C. Yoon,"Ultrafine particles and other hazardous materials are emitted during 3D printing, but the effect of temperature on such particles has not been studied systematically. The aim of this study was to evaluate the effect of temperature on the emission rate of particulate matter during fused deposition modeling (FDM) three-dimensional (3D) printing using different filament types. The number concentration of particles was measured with direct-reading instruments in an exposure chamber at various temperatures while using four filament materials during 3D printing. The temperature was increased from 185 to 290°C in 15°C increments, while incorporating the manufacturer-recommended operating conditions. The emission rate increased gradually as the temperature increased for all filament types, and temperature was the key factor affecting the emission rate after filament type. For all filaments, at the lowest operating temperature, the emission rate was 107 -109 particles/min, whereas the emission rate at the highest temperature was about 1011 particles/min, i.e., 100-10,000 times higher than the emission rate at the lowest temperature. To reduce particle emissions from 3D printing, we recommend printing at the lowest temperature possible or using low-emission materials."
Predicting Concentrations of Ultrafine Particles and Volatile Organic Compounds Resulting from Desktop 3D Printer Operation and the Impact of Potential Control Strategies.,2017,10.1111/jiec.12578,Journal of industrial ecology,https://pubmed.ncbi.nlm.nih.gov/41969752/,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air,45,Azimi P; Fazli T; Stephens B," Summary Recent studies have shown that potentially hazardous volatile organic compounds (VOCs) and ultrafine particles (UFPs) are emitted from many desktop three‐dimensional printer and filament combinations. We use recently published measurements of UFP and speciated VOC emission rates from a number of desktop 3D printers and filaments to predict the magnitudes of human exposures to airborne pollutants that would be expected in multiple locations within a typical small office environment. We also model the impacts of several control strategies for reducing occupational exposures. Results demonstrate that UFP and VOC concentrations within close or moderate proximity (i.e., within 3 and 3 to 18 meters, respectively) to some desktop 3D printer and filament combinations with the highest emissions can exceed recommended exposure levels (RELs) for some VOCs and typical indoor concentrations for both UFPs and VOCs. Concentrations of caprolactam within close proximity to a printer using some nylon‐based filaments are predicted to exceed both acute and chronic RELs set by the California Office of Environmental Health Hazard Assessment. UFP concentrations are predicted to reach as high as 80,000 particles per cubic centimeter in close proximity to the highest emitting printer and filament combinations. The printer and filament combinations with the lowest UFP and VOC emission rates are not expected to yield concentrations at levels of concern. The most effective control strategies for reducing both UFP and VOC concentrations included installing a high‐flow spot ventilation system and operating the printer in a sealed enclosure with high‐efficiency gas and particle filtration. "
An Experimental Study on the Energy Consumption and Emission Profile of Fused Deposition Modeling Process,2018,10.1016/j.promfg.2018.07.119,,https://www.semanticscholar.org/paper/6584fb51e549d0f6f93920688de5c8531e46c6a5,core_emissions_measurement;materials,39,T. Simon; Wo Jae Lee; Benjamin E J Spurgeon; Brandon E. Boor; Fu Zhao,"Abstract Additive Manufacturing (AM) is widely considered as an environmentally friendly alternative to traditional processes. However, AM processes are not free of environmental impacts: they consume material and energy while emitting particulates and/or volatile organic compounds. Although there are efforts on characterizing energy consumption and air borne emissions, in depth analysis and understanding are generally lacking when compared with traditional processes, especially machining processes. Using fused deposition modeling (FDM) process as an example, this study explores how operating procedure and printing parameters affect the energy consumption and particulates emissions. Experimental data suggests that particle emission is mainly the result of condensing and agglomerating of semi-volatile organic compounds. The initial emission spike occurs when there is dripping of semi-liquid filament from heated nozzle and/or there is residue left in the nozzle. Printing speed and material flow have effects on particle emission rate but the effect is small. Power profile analysis indicates that print bed heating and temperature maintaining is the leading contributor to energy consumption."
Technical control of nanoparticle emissions from desktop 3D printing,2021,10.1111/ina.12791,Indoor Air,https://doi.org/10.1111/ina.12791,core_emissions_measurement;mitigation_filtration;workplace_indoor_air,35,Anna‐Kaisa Viitanen; Kimmo Kallonen; Kirsi Kukko; Tomi Kanerva; Erkka Saukko; Tareq Hussein; Kaarle Hämeri; Arto Säämänen,
Characterization of Ultrafine Particles and VOCs Emitted from a 3D Printer,2021,10.3390/ijerph18030929,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph18030929,core_emissions_measurement;health_toxicology;materials,32,Sarka Bernatikova; Ales Dudacek; Radka Prichystalova; Vit Klecka; Lucie Kocurkova," Currently, widely available three-dimensional (3D) printers are very popular with the public. Previous research has shown that these printers can emit ultrafine particles (UFPs) and volatile organic compounds (VOCs). Several studies have examined the emissivity of filaments from 3D printing, except glycol modified polyethylene terephthalate (PETG) and styrene free co-polyester (NGEN) filaments. The aim of this study was to evaluate UFP and VOC emissions when printing using a commonly available 3D printer (ORIGINAL PRUSA i3 MK2 printer) using PETG and NGEN. The concentrations of UFPs were determined via measurements of particle number concentration and size distribution. A thermal analysis was carried out to ascertain whether signs of fiber decomposition would occur at printing temperatures. The total amount of VOCs was determined using a photoionization detector, and qualitatively analyzed via gas chromatography-mass spectrometry. The total particle concentrations were 3.88 × 1010 particles for PETG and 6.01 × 109 particles for NGEN. VOCs at very low concentrations were detected in both filaments, namely ethylbenzene, toluene, and xylene. In addition, styrene was identified in PETG. On the basis of our results, we recommend conducting additional measurements, to more accurately quantify personal exposure to both UFPs and VOCs, focusing on longer exposure as it can be a source of potential cancer risk. "
Review on particle emissions during fused deposition modeling of acrylonitrile butadiene styrene and polylactic acid polymers,2021,10.1016/j.matpr.2020.11.521,,https://www.semanticscholar.org/paper/53513633e6514149af5c336666fb072b30331d88,core_emissions_measurement;health_toxicology;materials;resin_or_other_am,30,A. Manoj; M. Bhuyan; Swarup Raj Banik; Mamilla Ravi Sankar,"Abstract As 3D printing technology is rapidly evolving, it's impact on human health is becoming a prime concern. The major reason behind this is the emission of particles during the heating of thermoplastics used for 3D printing. Thermoplastics find very frequent applications in additive manufacturing processes. Fused Metal Deposition (FDM) is a 3D printing technique which is well known for its ability to produce complex geometries. However, the filaments used in this process, namely Acrylonitrile Butadiene Styrene (ABS) and Polylactic Acid (PLA) generate emissions which are harmful to the human health and long term exposure to them could possibly lead to life-threatening conditions. Several factors lead to the concentration and impact of particle emissions such as process parameters, material used, chemical composition, etc. Comparative research works are also carried out to find the most suitable material for 3D printing as per output and emissions. The present paper presents a review on generation of particle emissions by the usage of ABS and PLA and the notable health risks caused by them. Also, the prevention techniques of such emissions are discussed in the subsections."
A review of emission characteristics and control strategies for particles emitted from 3D fused deposition modeling (FDM) printing,2022,10.1016/j.buildenv.2022.109348,Building and Environment,https://doi.org/10.1016/j.buildenv.2022.109348,core_emissions_measurement;mitigation_filtration,30,Jie Zhang; Da-Ren Chen; Sheng-Chieh Chen,
Reducing ultrafine particulate emission from multiple 3D printers in an office environment using a prototype engineering control,2020,10.1007/s11051-020-04844-4,Journal of nanoparticle research,https://www.semanticscholar.org/paper/347be89b7ecf65aed8aa5be97eb0749f4d3683e4,core_emissions_measurement;materials;mitigation_filtration;workplace_indoor_air;resin_or_other_am,26,Kevin L. Dunn; D. Hammond; K. Menchaca; G. Roth; K. Dunn,"Recent studies have shown that high concentrations of ultrafine particles can be emitted during the 3D printing process. This study characterized the emissions from different filaments using common fused deposition modeling printers. It also assessed the effectiveness of a novel engineering control designed to capture emissions directly at the extruder head. Airborne particle and volatile organic compound concentrations were measured, and particle emission rates were calculated for several different 3D printer and filament combinations. Each printer and filament combination was tested inside a test chamber to measure overall emissions using the same print design for approximately 2 h. Emission rates ranged from 0.71 × 10 7 to 1400 × 10 7 particles/min, with particle geometric mean diameters ranging from 45.6 to 62.3 nm. To assess the effectiveness of a custom-designed engineering control, a 1-h print program using a MakerBot Replicator+ with Slate Gray Tough polylactic acid filament was employed. Emission rates and particle counts were evaluated both with and without the extruder head emission control installed. Use of the control showed a 98% reduction in ultrafine particle concentrations from an individual 3D printer evaluated in a test chamber. An assessment of the control in a simulated makerspace with 20 printers operating showed particle counts approached or exceeded 20,000 particles/cm 3 without the engineering controls but remained at or below background levels (< 1000 particles/cm 3 ) with the engineering controls in place. This study showed that a low-cost control could be added to existing 3D printers to significantly reduce emissions to the work environment."
